clause_text,clause_type,document_type,risk_label,legal_basis,jurisdiction
It is hereby agreed that default on 10 consecutive EMIs may trigger recovery proceedings under applicable law.,Default,Loan Agreement,Caution,Indian Contract Act 1872 / RBI Guidelines,India
"As per the terms of this Agreement, this Agreement may be terminated by the Lessor on breach of any term, subject to a 15-day cure period.",Termination,Rental Agreement,Caution,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
Penalty charges may be revised by the Bank within limits permitted by applicable regulation.,Penalty,Loan Agreement,Caution,Indian Contract Act 1872 / RBI Guidelines,India
"In accordance with this Agreement, the Borrower shall repay the loan in equal monthly instalments over 18 months as per the agreed schedule.",Repayment,Loan Agreement,Safe,Indian Contract Act 1872 / RBI Guidelines,India
"As per the terms of this Agreement, the financial institution may hold the collateral for an additional 180 days after repayment for administrative verification.",Collateral,Loan Agreement,Caution,Indian Contract Act 1872 / RBI Guidelines,India
"Pursuant to this Agreement, the Employer may withhold or delay salary payment of Rs. 30000/- without prior communication to the appointee.",Salary,Employment Agreement,Risky,Indian Contract Act 1872 / Industrial Relations Code 2020,India
"Under this clause, the Tenant shall be liable for all damage to the premises irrespective of cause, including natural wear and tear.",Damage Liability,Rental Agreement,Risky,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
"Subject to the terms herein, the appointee shall be on probation for 11 months, following which confirmation shall be communicated in writing.",Probation,Employment Agreement,Safe,Indian Contract Act 1872 / Industrial Relations Code 2020,India
"Under this clause, the Landlord may impose any renewal terms unilaterally, including rent increases exceeding 30%.",Renewal,Rental Agreement,Risky,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
The Employer shall provide clear guidelines regarding disciplinary action. Clause 76.,Disciplinary Action,Employment Agreement,Safe,"Industrial Relations Code, 2020",India
"For the purposes of this Agreement, the Employee may raise grievances through the internal committee, which shall respond within 10 days.",Grievance Redressal,Employment Agreement,Safe,Indian Contract Act 1872 / Industrial Relations Code 2020,India
It is hereby agreed that the Bank may hold the collateral for an additional 180 days after repayment for administrative verification.,Collateral,Loan Agreement,Caution,Indian Contract Act 1872 / RBI Guidelines,India
The Employer reserves the right to modify procedures concerning transfer where permitted by law. Clause 56.,Transfer,Employment Agreement,Caution,"Industrial Relations Code, 2020",India
"For the purposes of this Agreement, a grace period of 45 days shall be provided before any late payment charge is levied.",Late Payment,Loan Agreement,Safe,Indian Contract Act 1872 / RBI Guidelines,India
"Subject to the terms herein, late payment beyond 90 days shall attract a charge of 10% per month on the overdue amount.",Late Payment,Loan Agreement,Caution,Indian Contract Act 1872 / RBI Guidelines,India
"Prepayment shall attract a penalty of 2% of the original loan amount, regardless of tenure remaining.",Prepayment,Loan Agreement,Risky,Indian Contract Act 1872 / RBI Guidelines,India
"As per the terms of this Agreement, a full refund shall be issued within 60 days if the product/service is defective or not as described.",Refund Policy,Consumer Agreement,Safe,Consumer Protection Act 2019 / Consumer Protection (E-Commerce) Rules 2020,India
"For the purposes of this Agreement, salary of Rs. 60000/- is subject to annual review and may be revised at the discretion of the Employer.",Salary,Employment Agreement,Caution,Indian Contract Act 1872 / Industrial Relations Code 2020,India
"As per the terms of this Agreement, delivery shall be completed within 90 days of order confirmation, with tracking provided.",Delivery,Consumer Agreement,Safe,Consumer Protection Act 2019 / Consumer Protection (E-Commerce) Rules 2020,India
"As per the terms of this Agreement, the Bank may hold the collateral for an additional 45 days after repayment for administrative verification.",Collateral,Loan Agreement,Caution,Indian Contract Act 1872 / RBI Guidelines,India
"In accordance with this Agreement, the Lender agrees to disburse a loan amount of Rs. 3000000/- to the applicant as per the agreed schedule.",Loan Amount,Loan Agreement,Safe,Indian Contract Act 1872 / RBI Guidelines,India
"In accordance with this Agreement, the rent of Rs. 8000/- may be revised by the Landlord after 24 months with prior written intimation.",Rent Payment,Rental Agreement,Caution,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
The Employer reserves the right to modify procedures concerning expense reimbursement where permitted by law. Clause 392.,Expense Reimbursement,Employment Agreement,Caution,"Income Tax Act, 1961",India
The Employer may revise terms relating to job role based on operational requirements with reasonable notice. Clause 482.,Job Role,Employment Agreement,Caution,"Indian Contract Act, 1872",India
"For the purposes of this Agreement, the occupant shall pay a security deposit of Rs. 15000/- which shall be refunded within 45 days of vacating the premises, subject to deduction for damages beyond normal wear and tear.",Security Deposit,Rental Agreement,Safe,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
"Under this clause, the management reserves the right to withdraw the appointment of the staff member at any time before or after joining without reason.",Appointment,Employment Agreement,Risky,Indian Contract Act 1872 / Industrial Relations Code 2020,India
"In accordance with this Agreement, rent of Rs. 18000/- may be revised by the hostel/PG management with 90 days notice.",Rent Payment,Hostel/PG Agreement,Caution,Indian Contract Act 1872 / State PG & Hostel Regulations,India
The Lender may revise conditions relating to insurance where permitted by law. Clause 494.,Insurance,Loan Agreement,Caution,"Insurance Act, 1938",India
"Pursuant to this Agreement, the Employee may raise grievances through the internal committee, which shall respond within 15 days.",Grievance Redressal,Employment Agreement,Safe,Indian Contract Act 1872 / Industrial Relations Code 2020,India
It is hereby agreed that the appointee shall be paid a monthly salary of Rs. 20000/- on or before the 7th day of the following month.,Salary,Employment Agreement,Safe,Indian Contract Act 1872 / Industrial Relations Code 2020,India
"Subject to the terms herein, the applicable interest rate shall be 36% per annum, fixed for the tenure of the loan.",Interest Rate,Loan Agreement,Safe,Indian Contract Act 1872 / RBI Guidelines,India
"Under this clause, the applicant shall repay the loan in equal monthly instalments over 11 months as per the agreed schedule.",Repayment,Loan Agreement,Safe,Indian Contract Act 1872 / RBI Guidelines,India
"Refunds shall be processed within 180 days, subject to deduction of processing charges.",Refund Policy,Consumer Agreement,Caution,Consumer Protection Act 2019 / Consumer Protection (E-Commerce) Rules 2020,India
"Subject to the terms herein, rent of Rs. 10000/- may be revised by the hostel/PG management with 10 days notice.",Rent Payment,Hostel/PG Agreement,Caution,Indian Contract Act 1872 / State PG & Hostel Regulations,India
"For the purposes of this Agreement, the collateral pledged shall be released within 7 days of full repayment of the loan.",Collateral,Loan Agreement,Safe,Indian Contract Act 1872 / RBI Guidelines,India
It is hereby agreed that maintenance responsibilities shall be shared between the property owner and the Tenant as mutually agreed from time to time.,Maintenance,Rental Agreement,Caution,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
"Subject to the terms herein, the loan amount of Rs. 1500000/- may be disbursed in tranches at the discretion of the financial institution.",Loan Amount,Loan Agreement,Caution,Indian Contract Act 1872 / RBI Guidelines,India
"As per the terms of this Agreement, the monthly rent of Rs. 35000/- shall be paid in advance on or before the 1st of each month.",Rent Payment,Hostel/PG Agreement,Safe,Indian Contract Act 1872 / State PG & Hostel Regulations,India
"As per the terms of this Agreement, late payment beyond 15 days shall attract a charge of 5% per month on the overdue amount.",Late Payment,Loan Agreement,Caution,Indian Contract Act 1872 / RBI Guidelines,India
"It is hereby agreed that the Lessee shall pay a security deposit of Rs. 10000/- which shall be refunded within 10 days of vacating the premises, subject to deduction for damages beyond normal wear and tear.",Security Deposit,Rental Agreement,Safe,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
It is hereby agreed that the property owner may terminate this Agreement and demand vacation of premises with less than 15 days notice.,Notice Period,Rental Agreement,Risky,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
The Lender shall provide written information concerning prepayment. Clause 328.,Prepayment,Loan Agreement,Safe,RBI Guidelines,India
"Pursuant to this Agreement, the staff member may raise grievances through the internal committee, which shall respond within 45 days.",Grievance Redressal,Employment Agreement,Safe,Indian Contract Act 1872 / Industrial Relations Code 2020,India
It is hereby agreed that the Borrower shall repay the loan in equal monthly instalments over 18 months as per the agreed schedule.,Repayment,Loan Agreement,Safe,Indian Contract Act 1872 / RBI Guidelines,India
"Pursuant to this Agreement, the property owner reserves the right to increase the rent at any time without prior notice to the Tenant.",Rent Payment,Rental Agreement,Risky,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
"Under this clause, repair costs shall be assessed jointly by the Landlord and the Lessee before being apportioned.",Repairs,Rental Agreement,Caution,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
"Subject to the terms herein, all intellectual property created by the Employee, even unrelated to employment and in personal time, shall belong to the Employer.",Intellectual Property,Employment Agreement,Risky,Indian Contract Act 1872 / Industrial Relations Code 2020,India
The Employer may revise terms relating to whistleblower based on operational requirements with reasonable notice. Clause 38.,Whistleblower,Employment Agreement,Caution,"Companies Act, 2013",India
"Subject to the terms herein, the security deposit of Rs. 30000/- paid by the occupant shall be non-refundable under any circumstances.",Security Deposit,Rental Agreement,Risky,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
The Borrower waives any objection concerning force majeure. Clause 426.,Force Majeure,Loan Agreement,Risky,"Indian Contract Act, 1872",India
"Under this clause, the appointee may raise grievances through the internal committee, which shall respond within 90 days.",Grievance Redressal,Employment Agreement,Safe,Indian Contract Act 1872 / Industrial Relations Code 2020,India
The duration or conditions of conflict of interest may be extended upon documented justification. Clause 491.,Conflict of Interest,Employment Agreement,Caution,"Indian Contract Act, 1872",India
"As per the terms of this Agreement, electricity, water, and maintenance charges shall be borne by the Tenant as per actual meter readings.",Utilities,Rental Agreement,Safe,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
It is hereby agreed that the collateral pledged shall be released within 90 days of full repayment of the loan.,Collateral,Loan Agreement,Safe,Indian Contract Act 1872 / RBI Guidelines,India
"As per the terms of this Agreement, the staff member shall be on probation for 6 months, following which confirmation shall be communicated in writing.",Probation,Employment Agreement,Safe,Indian Contract Act 1872 / Industrial Relations Code 2020,India
"For the purposes of this Agreement, the Lender may reduce or withhold the sanctioned loan amount of Rs. 750000/- at any time without explanation.",Loan Amount,Loan Agreement,Risky,Indian Contract Act 1872 / RBI Guidelines,India
"In accordance with this Agreement, working hours may be extended to 9 hours during peak periods with reasonable prior notice.",Working Hours,Employment Agreement,Caution,Indian Contract Act 1872 / Industrial Relations Code 2020,India
"For the purposes of this Agreement, the applicable interest rate shall be 12% per annum, fixed for the tenure of the loan.",Interest Rate,Loan Agreement,Safe,Indian Contract Act 1872 / RBI Guidelines,India
"For the purposes of this Agreement, failure to pay rent of Rs. 15000/- within 45 days shall entitle the property owner to lock the premises without notice.",Rent Payment,Rental Agreement,Risky,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
"In accordance with this Agreement, the Borrower shall repay the loan in equal monthly instalments over 60 months as per the agreed schedule.",Repayment,Loan Agreement,Safe,Indian Contract Act 1872 / RBI Guidelines,India
"Subject to the terms herein, the financial institution agrees to disburse a loan amount of Rs. 100000/- to the applicant as per the agreed schedule.",Loan Amount,Loan Agreement,Safe,Indian Contract Act 1872 / RBI Guidelines,India
Late payment beyond 60 days shall attract a charge of 8% per month on the overdue amount.,Late Payment,Loan Agreement,Caution,Indian Contract Act 1872 / RBI Guidelines,India
The Borrower accepts unilateral decisions relating to prepayment. Clause 408.,Prepayment,Loan Agreement,Risky,RBI Guidelines,India
"Under this clause, the Company may unilaterally reassign the appointee to any role, location, or department without consent.",Job Role,Employment Agreement,Risky,Indian Contract Act 1872 / Industrial Relations Code 2020,India
"Subject to the terms herein, the security deposit of Rs. 30000/- shall be forfeited entirely if the resident vacates before 36 months.",Security Deposit,Hostel/PG Agreement,Risky,Indian Contract Act 1872 / State PG & Hostel Regulations,India
Rent of Rs. 20000/- may be revised by the hostel/PG management with 10 days notice.,Rent Payment,Hostel/PG Agreement,Caution,Indian Contract Act 1872 / State PG & Hostel Regulations,India
"All sales are final; no refund shall be issued under any circumstances, including defective products.",Refund Policy,Consumer Agreement,Risky,Consumer Protection Act 2019 / Consumer Protection (E-Commerce) Rules 2020,India
"In accordance with this Agreement, the subscription shall auto-renew unless cancelled at least 45 days before the renewal date, with reminder notice sent.",Auto-Renewal,Consumer Agreement,Safe,Consumer Protection Act 2019 / Consumer Protection (E-Commerce) Rules 2020,India
"Pursuant to this Agreement, a refundable security deposit of Rs. 15000/- shall be collected and returned within 45 days of vacating.",Security Deposit,Hostel/PG Agreement,Safe,Indian Contract Act 1872 / State PG & Hostel Regulations,India
It is hereby agreed that the financial institution may hold the collateral for an additional 120 days after repayment for administrative verification.,Collateral,Loan Agreement,Caution,Indian Contract Act 1872 / RBI Guidelines,India
"For the purposes of this Agreement, the Bank agrees to disburse a loan amount of Rs. 750000/- to the Borrower as per the agreed schedule.",Loan Amount,Loan Agreement,Safe,Indian Contract Act 1872 / RBI Guidelines,India
"Subject to the terms herein, the financial institution may revise the interest rate from 8% where permitted by applicable RBI guidelines.",Interest Rate,Loan Agreement,Caution,Indian Contract Act 1872 / RBI Guidelines,India
"In accordance with this Agreement, a penalty of 10% per day, compounding, shall apply for any delay in rent payment, with no grace period.",Late Payment Penalty,Rental Agreement,Risky,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
"It is hereby agreed that the notice period for termination shall be 7 days, extendable at the discretion of the property owner.",Notice Period,Rental Agreement,Caution,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
It is hereby agreed that the security deposit of Rs. 25000/- shall be forfeited entirely if the resident vacates before 6 months.,Security Deposit,Hostel/PG Agreement,Risky,Indian Contract Act 1872 / State PG & Hostel Regulations,India
"Pursuant to this Agreement, in case of default, the applicant shall be given 15 days to cure the default before further action.",Default,Loan Agreement,Safe,Indian Contract Act 1872 / RBI Guidelines,India
"As per the terms of this Agreement, the monthly EMI shall be calculated on Rs. 500000/- at 36% interest, fixed for the loan tenure.",EMI,Loan Agreement,Safe,Indian Contract Act 1872 / RBI Guidelines,India
"In accordance with this Agreement, the Bank may reduce or withhold the sanctioned loan amount of Rs. 500000/- at any time without explanation.",Loan Amount,Loan Agreement,Risky,Indian Contract Act 1872 / RBI Guidelines,India
A late payment penalty of 3% per month shall apply if rent is delayed beyond 60 days.,Late Payment Penalty,Rental Agreement,Caution,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
The lender may require additional collateral if the value of existing collateral falls below 150% of the outstanding loan amount.,Additional Collateral,Loan Agreement,Caution,RBI Guidelines / Consumer Protection Act 2019 / SARFAESI Act 2002 / Indian Contract Act 1872,India
"In accordance with this Agreement, the Company may revise the code of conduct from time to time and the staff member shall be bound by such revisions.",Code of Conduct,Employment Agreement,Caution,Indian Contract Act 1872 / Industrial Relations Code 2020,India
"Under this clause, the Tenant shall pay a security deposit of Rs. 15000/- which shall be refunded within 30 days of vacating the premises, subject to deduction for damages beyond normal wear and tear.",Security Deposit,Rental Agreement,Safe,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
"Pursuant to this Agreement, either party may end the arrangement with 7 days written notice.",Notice Period,Hostel/PG Agreement,Safe,Indian Contract Act 1872 / State PG & Hostel Regulations,India
The Employer may unilaterally determine all matters relating to governing law without consultation. Clause 267.,Governing Law,Employment Agreement,Risky,"Indian Contract Act, 1872",India
"It is hereby agreed that the security deposit of Rs. 60000/- shall be refunded within 45 days, subject to inspection by the Lessor.",Security Deposit,Rental Agreement,Caution,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
"For the purposes of this Agreement, minor repairs up to Rs. 3500/- shall be borne by the Tenant; major repairs shall be borne by the Landlord.",Repairs,Rental Agreement,Safe,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
"In accordance with this Agreement, a late payment penalty of 2% per month shall apply if rent is delayed beyond 7 days.",Late Payment Penalty,Rental Agreement,Caution,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
"As per the terms of this Agreement, the Tenant shall forfeit the entire security deposit of Rs. 20000/- if the premises are vacated before the 60-month lock-in period.",Lock-in Period,Rental Agreement,Risky,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
"As per the terms of this Agreement, the loan recipient shall repay the loan in equal monthly instalments over 60 months as per the agreed schedule.",Repayment,Loan Agreement,Safe,Indian Contract Act 1872 / RBI Guidelines,India
"For the purposes of this Agreement, the security deposit of Rs. 10000/- shall be refunded after deducting mess and maintenance dues.",Security Deposit,Hostel/PG Agreement,Caution,Indian Contract Act 1872 / State PG & Hostel Regulations,India
"In accordance with this Agreement, the Employee shall not work in any capacity in the same industry, anywhere in India, for 9 months after leaving, with no compensation for this restriction.",Non-Compete,Employment Agreement,Risky,Indian Contract Act 1872 / Industrial Relations Code 2020,India
"As per the terms of this Agreement, a late payment penalty of 1.5% per month shall apply if rent is delayed beyond 30 days.",Late Payment Penalty,Rental Agreement,Caution,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
Prepayment before 11 months shall attract a charge of 2% of the outstanding amount.,Prepayment,Loan Agreement,Caution,Indian Contract Act 1872 / RBI Guidelines,India
"Pursuant to this Agreement, the Lessor reserves the right to increase the rent at any time without prior notice to the Lessee.",Rent Payment,Rental Agreement,Risky,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
"Pursuant to this Agreement, subletting may be permitted by the Landlord subject to conditions communicated at the time of request.",Subletting,Rental Agreement,Caution,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
"The Company may terminate your employment at any time without notice, without reason, and without any severance pay.",Termination,Employment Agreement,Risky,Industrial Disputes Act 1947 / Labour Codes 2020,India
Repayment terms of 36 months are subject to change by the Bank with reasonable notice.,Repayment,Loan Agreement,Caution,Indian Contract Act 1872 / RBI Guidelines,India
"As per the terms of this Agreement, the occupant shall pay a security deposit of Rs. 10000/- which shall be refunded within 90 days of vacating the premises, subject to deduction for damages beyond normal wear and tear.",Security Deposit,Rental Agreement,Safe,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
Default on 3 consecutive EMIs may trigger recovery proceedings under applicable law.,Default,Loan Agreement,Caution,Indian Contract Act 1872 / RBI Guidelines,India
"Warranty coverage of 36 months excludes a broad, loosely defined set of conditions.",Warranty,Consumer Agreement,Caution,Consumer Protection Act 2019 / Consumer Protection (E-Commerce) Rules 2020,India
"Under this clause, minor repairs up to Rs. 3000/- shall be borne by the Tenant; major repairs shall be borne by the Lessor.",Repairs,Rental Agreement,Safe,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
"Subject to the terms herein, the Lender may request additional documentation from the Borrower at any stage of the loan tenure.",Documentation,Loan Agreement,Caution,Indian Contract Act 1872 / RBI Guidelines,India
A late payment penalty of 2% per month shall apply if rent is delayed beyond 45 days.,Late Payment Penalty,Rental Agreement,Caution,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
The Lender may alter terms relating to notice without prior notice. Clause 147.,Notice,Loan Agreement,Risky,"Indian Contract Act, 1872",India
"As per the terms of this Agreement, a lock-in period of 18 months shall apply under this agreement, with early exit permitted on payment of one month's rent as penalty.",Lock-in Period,Rental Agreement,Caution,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
"Under this clause, in case of default, the loan recipient shall be given 15 days to cure the default before further action.",Default,Loan Agreement,Safe,Indian Contract Act 1872 / RBI Guidelines,India
It is hereby agreed that repayment terms of 24 months are subject to change by the Lender with reasonable notice.,Repayment,Loan Agreement,Caution,Indian Contract Act 1872 / RBI Guidelines,India
"In accordance with this Agreement, the applicant may prepay the loan in full at any time without any prepayment penalty.",Prepayment,Loan Agreement,Safe,Indian Contract Act 1872 / RBI Guidelines,India
"Under this clause, the subscription shall auto-renew unless cancelled at least 45 days before the renewal date, with reminder notice sent.",Auto-Renewal,Consumer Agreement,Safe,Consumer Protection Act 2019 / Consumer Protection (E-Commerce) Rules 2020,India
"Subject to the terms herein, the loan amount of Rs. 2000000/- may be disbursed in tranches at the discretion of the Lender.",Loan Amount,Loan Agreement,Caution,Indian Contract Act 1872 / RBI Guidelines,India
The rights and obligations relating to non-solicitation shall be communicated in writing. Clause 22.,Non-Solicitation,Employment Agreement,Safe,"Indian Contract Act, 1872",India
It is hereby agreed that either party may end the arrangement with 45 days written notice.,Notice Period,Hostel/PG Agreement,Safe,Indian Contract Act 1872 / State PG & Hostel Regulations,India
"Under this clause, the management may terminate the staff member with 20 days notice or payment in lieu thereof.",Termination,Employment Agreement,Caution,Indian Contract Act 1872 / Industrial Relations Code 2020,India
The loan amount of Rs. 100000/- may be disbursed in tranches at the discretion of the financial institution.,Loan Amount,Loan Agreement,Caution,Indian Contract Act 1872 / RBI Guidelines,India
"Subject to the terms herein, the Borrower shall repay the loan in equal monthly instalments over 9 months as per the agreed schedule.",Repayment,Loan Agreement,Safe,Indian Contract Act 1872 / RBI Guidelines,India
"It is hereby agreed that the appointee shall not work in any capacity in the same industry, anywhere in India, for 36 months after leaving, with no compensation for this restriction.",Non-Compete,Employment Agreement,Risky,Indian Contract Act 1872 / Industrial Relations Code 2020,India
"Under this clause, a grace period of 90 days shall be allowed for rent payment before any late fee applies.",Late Payment Penalty,Rental Agreement,Safe,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
"As per the terms of this Agreement, this Agreement may be terminated by the Landlord on breach of any term, subject to a 60-day cure period.",Termination,Rental Agreement,Caution,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
"The Annual Percentage Rate (APR) inclusive of all charges is 14.5% per annum, which is the true cost of this loan.",APR Disclosure,Loan Agreement,Safe,RBI Guidelines / Consumer Protection Act 2019 / SARFAESI Act 2002 / Indian Contract Act 1872,India
"For the purposes of this Agreement, the Lender may revise the interest rate from 13% where permitted by applicable RBI guidelines.",Interest Rate,Loan Agreement,Caution,Indian Contract Act 1872 / RBI Guidelines,India
"As per the terms of this Agreement, the notice period for termination shall be 7 days, extendable at the discretion of the property owner.",Notice Period,Rental Agreement,Caution,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
"Pursuant to this Agreement, the staff member shall not work in any capacity in the same industry, anywhere in India, for 36 months after leaving, with no compensation for this restriction.",Non-Compete,Employment Agreement,Risky,Indian Contract Act 1872 / Industrial Relations Code 2020,India
"Subject to the terms herein, a lock-in period of 9 months shall apply under this agreement, with early exit permitted on payment of one month's rent as penalty.",Lock-in Period,Rental Agreement,Caution,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
"Under this clause, prepayment before 24 months shall attract a charge of 1.5% of the outstanding amount.",Prepayment,Loan Agreement,Caution,Indian Contract Act 1872 / RBI Guidelines,India
"As per the terms of this Agreement, the loan amount of Rs. 750000/- may be disbursed in tranches at the discretion of the Bank.",Loan Amount,Loan Agreement,Caution,Indian Contract Act 1872 / RBI Guidelines,India
"Under this clause, the staff member shall be on probation for 12 months, following which confirmation shall be communicated in writing.",Probation,Employment Agreement,Safe,Indian Contract Act 1872 / Industrial Relations Code 2020,India
The Borrower accepts unilateral decisions relating to financial statements. Clause 216.,Financial Statements,Loan Agreement,Risky,"Companies Act, 2013",India
"Subject to the terms herein, disputes shall be resolved through arbitration at a location chosen solely by the company.",Dispute Resolution,Consumer Agreement,Caution,Consumer Protection Act 2019 / Consumer Protection (E-Commerce) Rules 2020,India
"Under this clause, the monthly rent of Rs. 40000/- shall be paid by the Tenant to the property owner on or before the 5th day of each calendar month.",Rent Payment,Rental Agreement,Safe,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
"As per the terms of this Agreement, a penalty of 2% per day, compounding, shall apply for any delay in rent payment, with no grace period.",Late Payment Penalty,Rental Agreement,Risky,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
"Subject to the terms herein, this Agreement may be terminated by the Lessor on breach of any term, subject to a 15-day cure period.",Termination,Rental Agreement,Caution,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
"Pursuant to this Agreement, the Bank may hold the collateral for an additional 30 days after repayment for administrative verification.",Collateral,Loan Agreement,Caution,Indian Contract Act 1872 / RBI Guidelines,India
"As per the terms of this Agreement, maintenance responsibilities shall be shared between the Lessor and the Lessee as mutually agreed from time to time.",Maintenance,Rental Agreement,Caution,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
Salary of Rs. 40000/- is subject to annual review and may be revised at the discretion of the Employer.,Salary,Employment Agreement,Caution,Indian Contract Act 1872 / Industrial Relations Code 2020,India
"For the purposes of this Agreement, the occupant shall forfeit the entire security deposit of Rs. 40000/- if the premises are vacated before the 11-month lock-in period.",Lock-in Period,Rental Agreement,Risky,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
"As per the terms of this Agreement, the Company may terminate the Employee with immediate effect and without notice or severance, at sole discretion.",Termination,Employment Agreement,Risky,Indian Contract Act 1872 / Industrial Relations Code 2020,India
"Pursuant to this Agreement, the monthly rent of Rs. 8000/- shall be paid by the Lessee to the Landlord on or before the 5th day of each calendar month.",Rent Payment,Rental Agreement,Safe,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
"Under this clause, the Lender may initiate recovery proceedings and seize collateral immediately upon a single missed payment, without notice.",Default,Loan Agreement,Risky,Indian Contract Act 1872 / RBI Guidelines,India
"Subject to the terms herein, the monthly rent of Rs. 35000/- shall be paid by the occupant to the Landlord on or before the 5th day of each calendar month.",Rent Payment,Rental Agreement,Safe,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
"As per the terms of this Agreement, either party may end the arrangement with 7 days written notice.",Notice Period,Hostel/PG Agreement,Safe,Indian Contract Act 1872 / State PG & Hostel Regulations,India
"Pursuant to this Agreement, a grace period of 30 days shall be allowed for rent payment before any late fee applies.",Late Payment Penalty,Rental Agreement,Safe,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
The loan amount of Rs. 300000/- may be disbursed in tranches at the discretion of the Lender.,Loan Amount,Loan Agreement,Caution,Indian Contract Act 1872 / RBI Guidelines,India
"Under this clause, in case of default, the loan recipient shall be given 60 days to cure the default before further action.",Default,Loan Agreement,Safe,Indian Contract Act 1872 / RBI Guidelines,India
"In accordance with this Agreement, a late payment penalty of 3% per month shall apply if rent is delayed beyond 7 days.",Late Payment Penalty,Rental Agreement,Caution,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
Monthly rent of ₹8000 shall be transferred to the landlord before the 7th of each calendar month.,Rent Payment,Rental Agreement,Safe,"Indian Contract Act, 1872",India
It is hereby agreed that disputes shall first be addressed through the company's grievance officer within 30 days.,Dispute Resolution,Consumer Agreement,Safe,Consumer Protection Act 2019 / Consumer Protection (E-Commerce) Rules 2020,India
"Subject to the terms herein, the appointee shall not work in any capacity in the same industry, anywhere in India, for 3 months after leaving, with no compensation for this restriction.",Non-Compete,Employment Agreement,Risky,Indian Contract Act 1872 / Industrial Relations Code 2020,India
"Under this clause, the Employee shall be entitled to 15 days of paid leave per year, as per applicable labour law.",Leave,Employment Agreement,Safe,Indian Contract Act 1872 / Industrial Relations Code 2020,India
"In accordance with this Agreement, the monthly EMI shall be calculated on Rs. 750000/- at 8% interest, fixed for the loan tenure.",EMI,Loan Agreement,Safe,Indian Contract Act 1872 / RBI Guidelines,India
"For the purposes of this Agreement, the Company may unilaterally reassign the appointee to any role, location, or department without consent.",Job Role,Employment Agreement,Risky,Indian Contract Act 1872 / Industrial Relations Code 2020,India
"For the purposes of this Agreement, mess charges of Rs. 4500/- per month shall be billed separately and are optional.",Mess Charges,Hostel/PG Agreement,Safe,Indian Contract Act 1872 / State PG & Hostel Regulations,India
